Id,imdbId,primaryTitle,startYear,runtimeMinutes,IMDB Score,Genre
0,111161,The Shawshank Redemption,1994,142,9.3,2
1,110912,Pulp Fiction,1994,154,8.9,2
2,892425,Before Flying Back to Earth,2005,52,8.8,3
3,1375666,Inception,2010,148,8.8,0
4,187231,Barking at the Stars,1998,95,8.7,1
5,230010,At the River I Stand,1993,56,8.7,3
6,317248,City of God,2002,130,8.7,2
7,358456,Earthlings,2005,95,8.7,3
8,389448,Tie Xi Qu: West of the Tracks,2002,551,8.7,3
9,2294819,Souls of Zen,2012,89,8.7,3
10,2421956,Butterfly Girl,2014,78,8.7,3
11,3327994,Human,2015,190,8.7,3
12,4057438,The Death of Jaime Roldos,2013,125,8.7,3
13,4991384,Interrogation,2015,117,8.7,2
14,102926,The Silence of the Lambs,1991,118,8.6,2
15,103767,Baraka,1992,96,8.6,3
16,114369,Se7en,1995,127,8.6,2
17,114814,The Usual Suspects,1995,106,8.6,2
18,364484,Long Gone,2003,90,8.6,3
19,400234,Black Friday,2004,143,8.6,2
20,475994,One Six Right,2005,73,8.6,3
21,3621952,The Choice Is Ours,2015,59,8.6,3
22,116231,The Bandit,1996,128,8.5,2
23,120689,The Green Mile,1999,189,8.5,2
24,172495,Gladiator,2000,155,8.5,0
25,282864,Promises,2001,106,8.5,3
26,363510,The Revolution Will Not Be Televised,2003,74,8.5,3
27,407887,The Departed,2006,151,8.5,2
28,1294182,Living in Emergency,2008,93,8.5,3
29,1529331,Something's Gonna Live,2010,80,8.5,3
30,342804,My Flesh and Blood,2003,83,8.4,3
31,379269,Dying at Grace,2003,148,8.4,3
32,807956,Occupation 101,2006,90,8.4,3
33,891326,A Life Among Whales,2005,57,8.4,3
34,1773294,Bad Blood: A Cautionary Tale,2010,83,8.4,3
35,1826692,Fools on the Hill,2012,80,8.4,3
36,1832484,The Battle of Chernobyl,2006,94,8.4,3
37,3302820,Cowspiracy: The Sustainability Secret,2014,85,8.4,3
38,4430212,Drishyam,2015,163,8.4,2
39,4450170,"Return to the Philippines, the Leon Cooper Story",2015,65,8.4,3
40,4908644,Winter on Fire: Ukraine's Fight for Freedom,2015,102,8.4,3
41,5279042,Love Under New Management: The Miki Howard Story,2016,120,8.4,3
42,5593526,The Apology,2016,104,8.4,3
43,105236,Reservoir Dogs,1992,99,8.3,2
44,109580,Death of a Nation: The Timor Conspiracy,1994,60,8.3,3
45,119488,L.A. Confidential,1997,138,8.3,2
46,168845,Palms,1994,140,8.3,3
47,173772,My Voyage to Italy,1999,246,8.3,3
48,176093,Return with Honor,1998,101,8.3,3
49,264476,Children Underground,2001,104,8.3,3
50,333388,Edif???cio Master,2002,110,8.3,3
51,372784,Batman Begins,2005,140,8.3,0
52,395441,Aging Out,2004,85,8.3,3
53,495750,"Refugee All Stars, Sierra Leone's",2005,78,8.3,3
54,841119,Lake of Fire,2006,152,8.3,3
55,1027091,Letting Go of God,2008,130,8.3,3
56,1029172,The War on Democracy,2007,96,8.3,3
57,1039647,The Union: The Business Behind Getting High,2007,104,8.3,3
58,1202579,Under Our Skin,2008,104,8.3,3
59,1280558,A Wednesday,2008,104,8.3,2
60,1683890,The World According to Ion B.,2009,60,8.3,3
61,2146960,Vazhakku Enn 18/9,2012,124,8.3,2
62,2265179,Blood Brother,2013,92,8.3,3
63,4413794,Homeland (Iraq Year Zero),2015,334,8.3,3
64,102015,Hearts of Darkness: A Filmmaker's Apocalypse,1991,96,8.2,3
65,112641,Casino,1995,178,8.2,2
66,200087,Fervour,1999,174,8.2,0
67,230334,Instrument,2003,115,8.2,3
68,296108,News from a Personal War,1999,57,8.2,3
69,379370,Maqbool,2003,132,8.2,2
70,455581,King Leopold's Ghost,2006,108,8.2,3
71,455913,Bastards of the Party,2005,95,8.2,3
72,463028,The Gits,2005,82,8.2,3
73,800238,Beslan: Three Days in September,2006,75,8.2,3
74,1185598,Hori Smoku Sailor Jerry: The Life of Norman K. Collins,2008,75,8.2,3
75,1320254,Presumed Guilty,2008,87,8.2,3
76,1343324,Laffghanistan: Comedy Down Range,2009,90,8.2,3
77,1370803,"Trust Us, This Is All Made Up",2009,83,8.2,3
78,1781069,Zeitgeist: Moving Forward,2011,161,8.2,3
79,1864253,Alias Ruby Blade,2012,78,8.2,3
80,2218646,Owned & Operated,2012,106,8.2,3
81,3091380,Mission Congo,2013,68,8.2,3
82,3146408,Wavemakers,2012,96,8.2,3
83,3661072,Giuseppe Makes a Movie,2014,82,8.2,3
84,3784160,Valley Uprising,2014,103,8.2,3
85,4393514,Bitter Lake,2015,136,8.2,3
86,4974396,Stretch and Bobbito: Radio That Changed Lives,2015,99,8.2,3
87,100332,Paris Is Burning,1990,71,8.1,3
88,113247,La Haine,1995,98,8.1,2
89,116282,Fargo,1996,98,8.1,2
90,168515,Bittersweet Motel,2000,82,8.1,3
91,276919,Dogville,2003,178,8.1,2
92,307385,Rivers and Tides: Andy Goldsworthy Working with Time,2001,90,8.1,3
93,338564,Infernal Affairs,2002,101,8.1,2
94,419806,"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",2004,68,8.1,3
95,457496,Street Fight,2005,83,8.1,3
96,477348,No Country for Old Men,2007,122,8.1,2
97,478331,Workingman's Death,2005,122,8.1,3
98,494831,The Shutka Book of Records,2005,78,8.1,3
99,1002543,Santiago,2007,80,8.1,3
100,1109523,Tapestries of Hope,2009,78,8.1,3
101,1157720,Stranded: I've Come from a Plane That Crashed on the Mountains,2007,130,8.1,3
102,1200060,The English Surgeon,2007,94,8.1,3
103,1261047,Gulaal,2009,140,8.1,2
104,1276121,Who Killed Chea Vichea?,2011,56,8.1,3
105,1392190,Mad Max: Fury Road,2015,120,8.1,0
106,1392214,Prisoners,2013,153,8.1,2
107,1825163,The Light Bulb Conspiracy,2010,75,8.1,3
108,1895587,Spotlight,2015,128,8.1,2
109,1929346,People of a Feather,2011,90,8.1,3
110,1935156,Jodorowsky's Dune,2013,90,8.1,3
111,2015381,Guardians of the Galaxy,2014,121,8.1,0
112,2028530,Paradise Lost 3: Purgatory,2011,121,8.1,3
113,2111478,Mea Maxima Culpa: Silence in the House of God,2012,106,8.1,3
114,2215151,Inequality for All,2013,89,8.1,3
115,2267998,Gone Girl,2014,149,8.1,2
116,2385027,Catastroika,2012,87,8.1,3
117,2488496,Star Wars: The Force Awakens,2015,136,8.1,0
118,2507550,Killing Us Softly 4: Advertising's Image of Women,2010,46,8.1,3
119,2882328,Ugly,2013,128,8.1,2
120,3120794,'Til Madness Do Us Part,2013,227,8.1,3
121,3203290,Free to Play,2014,75,8.1,3
122,3848892,Baby,2015,159,8.1,0
123,4257858,Going Clear: Scientology & the Prison of Belief,2015,119,8.1,3
124,4449576,Tomorrow,2015,118,8.1,3
125,99028,American Dream,1990,98,8.0,3
126,106469,"Blood In, Blood Out",1993,180,8.0,2
127,112267,A.K.A. Don Bonus,1995,65,8.0,3
128,113104,Frank and Ollie,1995,89,8.0,3
129,168629,Dancer in the Dark,2000,140,8.0,2
130,200698,Het is een schone dag geweest,1993,70,8.0,3
131,220832,The Reality,1999,145,8.0,2
132,240912,Sound and Fury,2000,80,8.0,3
133,301727,Winged Migration,2001,98,8.0,3
134,325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,0
135,327056,Mystic River,2003,138,8.0,2
136,334416,Stevie,2002,140,8.0,3
137,393597,Earth,2007,90,8.0,3
138,427541,Miles Electric: A Different Kind of Blue,2004,87,8.0,3
139,796366,Star Trek,2009,127,8.0,0
140,856008,Sharkwater,2006,89,8.0,3
141,1013854,N???madak Tx,2006,89,8.0,3
142,1018748,Meeting David Wilson,2008,83,8.0,3
143,1097256,Please Vote for Me,2007,58,8.0,3
144,1337599,Consuming Kids: The Commercialization of Childhood,2008,66,8.0,3
145,1341746,Meat the Truth,2007,74,8.0,3
146,1377796,Such Hawks Such Hounds,2008,84,8.0,3
147,1417299,Unnaipol Oruvan,2009,106,8.0,2
148,1436553,"Back to the Garden, Flower Power Comes Full Circle",2009,70,8.0,3
149,1583323,Steam of Life,2010,81,8.0,3
150,1601463,Brooklyn Boheme,2011,75,8.0,3
151,1843335,Yutham Sei,2011,160,8.0,2
152,1866282,Triangle: Remembering the Fire,2011,40,8.0,3
153,1877832,X-Men: Days of Future Past,2014,132,8.0,0
154,2175928,Highway of Tears,2015,79,8.0,3
155,2377938,Special 26,2013,144,8.0,2
156,2637720,Ghost Adventures,2004,87,8.0,3
157,4264834,Beaver Trilogy Part IV,2015,85,8.0,3
158,4386134,Old Fashioned: The Story of the Wisconsin Supper Club,2015,51,8.0,3
159,4483262,Cinema: A Public Affair,2015,100,8.0,3
160,5251348,Chico: Artista Brasileiro,2015,70,8.0,3
161,97033,Central Park,1990,176,7.9,3
162,117040,Microcosmos,1996,80,7.9,3
163,140894,"Chile, the Obstinate Memory",1997,59,7.9,3
